Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
SrVO3,0,../data/Structures/Metals/SrVO3_CollCode_88982.cif,0.230191551,14.82361982,8.688999518,-37.12376395,87,79,51.84,3.8409,1.92045,2.715926436
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,0.277240952,9.072554618,19.74671801,-23.94156679,87,44,47,2.97288904,2.10215,2.97288904
TiS2,0,../data/Structures/Metals/TiS2_CollCode_52195.cif,0.087541419,51.80571255,6.792913964,-34.17672373,88,45,24.44444444,3.4073,2.428744025,3.442522185
V7O13,0,../data/Structures/Metals/V7O13_CollCode_197.cif,0,11.97630129,10.60417726,0,87,41,39.585,3.296975594,1.968259115,1.728792529
VO,0,../data/Structures/Metals/VO_HT_CollCode_77705.cif,0.473762042,9.677301246,20.01098683,-24.71336344,87,41,43.5,2.88004592,2.0365,2.88004592
W18O49,0,../data/Structures/Metals/W18O49_CollCode_15254.cif,0.307259267,52.80352597,-6.055665433,-61.75683342,87,36,37.72421475,3.245741977,1.948003143,2.697793903
WO2,0,../data/Structures/Metals/WO2_CollCode_8217.cif,0.149429256,7.584741822,15.86678247,-45.0671123,87,36,42.66666667,2.476184128,2.007761872,2.879542216
Ag2BiO3,1,../data/Structures/Insulators/Ag2BiO3_HT_CollCode_415959.cif,0.083760803,9.412308373,13.12724214,-26.91963201,87,22,40,3.202870552,2.431059467,3.062898062
Al2O3,1,../data/Structures/Insulators/Al2O3_CollCode_31545.cif,0.054228567,86.95286016,19.22862322,-37.74408108,87,14,26.4,3.135882049,1.915279012,2.651882345
AlV2O4,1,../data/Structures/Insulators/AlV2O4_CollCode_60413.cif,0.14930622,11.06577629,17.80168302,-32.83147909,87,41,37.3877551,2.896309376,2.039840899,2.896332546
Au2O3,1,../data/Structures/Insulators/Au2O3_CollCode_8014.cif,0.111325259,10.67809491,11.78870381,-33.38976958,87,21,33.6,3.331783024,2.191840241,2.927423659
BaCoS2,1,../data/Structures/Insulators/BaCoS2_CollCode_246938.cif,0.338819025,12.43036504,21.73164098,-18.01334826,88,79,38.625,3.613249947,2.371241691,3.711307315
BaPrO3,1,../data/Structures/Insulators/BaPrO3_CollCode_163752.cif,0.14930622,15.25472793,7.926683861,-32.37008663,87,78,68.64,4.371117416,2.223413863,3.288564474
BaSnO3,1,../data/Structures/Insulators/BaSnO3_CollCode_188149.cif,0.105303368,32.7922226,10.42856836,-34.63580085,87,78,53.28,4.1168,2.0584,2.911017197
BaTiO3,1,../data/Structures/Insulators/BaTiO3_CollCode_67519.cif,0.381174059,52.4317375,9.565654137,-35.59524577,87,78,58.32,3.9998,2.002175,2.832150888
Ca(FeO2)2,1,../data/Structures/Insulators/CaFe2O4_CollCode_291004.cif,0.151779026,20.07090861,12.65323741,-31.39312338,87,80,39.51020408,3.438236817,2.035845308,2.962034104
Ca2.668La1.332Mn4O12,1,../data/Structures/Insulators/La33Ca67Mn100O300_CollCode_56519.cif,0.14930622,16.19770621,6.876931184,-35.84378978,87,80,46.39752,3.794220421,1.926364214,2.850590792
Ca2AlFeO5,1,../data/Structures/Insulators/Ca2(FeAl)O5_CollCode_9197.cif,0.14930622,20.32129746,14.60160426,-29.81361393,87,80,42.09876543,3.656865866,1.931945279,2.998158407
Ca2CrOsO6,1,../data/Structures/Insulators/Ca2CrOsO6_RoomT_CollCode_239672.cif,0.583869088,12.43352166,2.741028212,-31.64547549,87,80,44.52,5.400250138,1.936614909,2.86378755
Ca2Fe2O5,1,../data/Structures/Insulators/Ca2Fe2O5_CollCode_15059.cif,0.081921178,20.36602752,13.39501284,-29.25492376,87,80,43.45679012,3.698883073,1.960396599,3.029650012
Ca3Mn4BiO12,1,../data/Structures/Insulators/Ca75Bi25Mn100O300_CollCode_291046.cif,0.14930622,16.46804479,6.348269697,-36.30929217,87,80,42.24,3.772054732,1.925922944,2.830035287
Ca4Mn1.96Fe2.04O12,1,../data/Structures/Insulators/Ca2FeMnO6_CollCode_259396.cif,0.14930622,16.22118167,1.65164689,-38.08253849,87,80,43.0632,3.721976265,1.891424532,2.784894843
CaMn7O12,1,../data/Structures/Insulators/CaMn7O12_HT_CollCode_252390.cif,0.14930622,14.13382809,8.669813883,-37.3342897,87,80,37.26,3.331191979,2.156622029,2.774320877
CaMoO4,1,../data/Structures/Insulators/CaMoO4_RoomT_CollCode_62219.cif,0.07160318,53.09128218,0.946815898,-51.26111994,87,80,44,3.871208928,1.77512292,2.897644832
CaO,1,../data/Structures/Insulators/CaO_CollCode_51409.cif,0.176151811,34.81229573,16.24467569,-20.90412221,87,80,55,3.404860573,2.4076,3.404860573
CaOsO3,1,../data/Structures/Insulators/CaOsO3_CollCode_237732.cif,0.232489634,10.29906759,12.03370521,-36.14179602,87,80,45.12,3.890816805,2.006244484,2.921280125
Cd(RhO2)2,1,../data/Structures/Insulators/CdRh2O4_Spinel_RoomT_CollCode_262941.cif,0.119413277,6.270216123,12.14746123,-31.56558014,87,28,37.55102041,3.083579536,2.048895462,3.090040037
Cd2Ru2O7,1,../data/Structures/Insulators/Cd2Ru2O7_CollCode_86773.cif,0.340025178,12.97903439,5.171516889,-44.59496071,87,31,36.56198347,3.581142293,1.923613108,3.032030871
CdS,1,../data/Structures/Insulators/CdS_CollCode_154186.cif,0.181895489,17.06517266,19.5220077,-18.69894228,88,18,19.5,4.120644135,2.529486125,4.120644135
Ce2O3,1,../data/Structures/Insulators/Ce2O3_Theory_CollCode_96202.cif,0.28585008,13.15197451,15.2949311,-29.45967546,87,72,66.24,4.048683235,2.455193362,3.537382773
CeO2,1,../data/Structures/Insulators/CeO2_CollCode_72155.cif,0.418027828,24.88149532,11.15706407,-41.28054776,87,72,61.33333333,3.827144742,2.343637948,2.7062
Co3O4,1,../data/Structures/Insulators/Co3O4_CollCode_27497.cif,0.11479814,13.28523228,-5.287248633,-33.91135917,87,29,29.3877551,3.210790593,1.919790671,2.855258001
CoAs3,1,../data/Structures/Insulators/CoAs3_CollCode_243405.cif,0.14930622,14.26088583,11.97892371,-13.27947655,84,26,2.625,4.1035,2.336674257,3.145427435
CoO,1,../data/Structures/Insulators/CoO_CollCode_9865.cif,0.13477064,11.63864004,15.67280767,-23.6118999,87,29,30,3.014396208,2.1315,3.014396208
CoP3,1,../data/Structures/Insulators/CoP3_HandGenerated.cif,1.752865649,15.18189395,11.97892371,-124.4078913,83,25,7.125,3.8556,2.225437082,2.813713222
CoSb3,1,../data/Structures/Insulators/CoSb3_HandGenerated.cif,0.14930622,15.18189395,11.97892371,-111.4874299,85,27,4.875,4.52757,2.529736457,3.446363159
Cr2O3,1,../data/Structures/Insulators/Cr2O3_CollCode_75577.cif,0.010515559,13.77380601,14.37981276,-36.17491263,87,38,35.04,3.252545527,1.988800575,2.763778524
CrO3,1,../data/Structures/Insulators/CrO3_CollCode_16031.cif,0.183148838,65.31100974,-8.805939291,-69.4343089,87,38,27.375,3.31476768,1.662708544,2.935674003
CrPbO3,1,../data/Structures/Insulators/PbCrO3_CollCode_194156.cif,0.14930622,16.70494083,3.644867613,-11.02295117,87,38,36.72,4.0054,2.0027,2.832245501
Cu2Ag2O3,1,../data/Structures/Insulators/Ag2Cu2O3_CollCode_51672.cif,0.163095186,9.542333461,9.864742868,-18.03435629,87,23,35.51020408,3.29825981,2.073036904,2.747008056
CuAgO2,1,../data/Structures/Insulators/AgCuO2_CollCode_95089.cif,0.095134743,9.605556728,16.22096941,-26.27821263,87,23,36.25,3.346724996,2.462324317,3.033985919
CuO,1,../data/Structures/Insulators/CuO_CollCode_291387.cif,0.016672101,11.82882777,12.63247842,-24.00046052,87,23,33,3.050914069,1.955417605,2.966638543
CuRhO2,1,../data/Structures/Insulators/CuRhO2_CollCode_29214.cif,0.188023195,8.53636138,13.02803257,-26.65386857,87,28,35.5,5.990771607,2.016157307,2.608435574
Er2O3,1,../data/Structures/Insulators/Er2O3_CollCode_39521.cif,0.134046778,15.8708514,16.29589297,-31.8951346,87,52,59.04,3.740996121,2.267043712,3.265202176
Eu2CuO4,1,../data/Structures/Insulators/Eu2CuO4_CollCode_71183.cif,0.198367468,14.35345042,11.49224902,-28.88407836,87,62,53.87755102,6.559728117,1.9506,2.903354992
