Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
SrCeO3,1,../data/Structures/Insulators/SrCeO3_CollCode_71352.cif,0.401836356,25.29036601,9.504710828,-32.51721667,87,79,64.08,4.293745241,2.250293893,3.239013539
SrLaCoO4,1,../data/Structures/Insulators/LaSrCoO4_CollCode_415838.cif,0.14930622,15.65505341,12.451197,-29.18763951,87,79,53.87755102,6.80851709,1.97992506,2.890082482
SrLaCrO4,1,../data/Structures/Insulators/LaSrCrO4_CollCode_167421.cif,0.14930622,16.08861624,14.57034924,-29.01020924,87,79,56,6.816777446,1.974331,2.898513834
SrLaVO4,1,../data/Structures/Insulators/LaSrVO4_CollCode_80489.cif,0.14930622,15.3112052,15.37642577,-28.65403353,87,79,58.28571429,6.900697713,2.0374735,2.95314001
SrMnO3,1,../data/Structures/Insulators/SrMnO3_Cubic_CollCode_236949.cif,0.289545716,17.41470256,4.798499876,-37.48289082,87,79,48.48,3.8041,1.90205,2.689904906
SrMoO4,1,../data/Structures/Insulators/SrMoO4_CollCode_193794.cif,0.275514932,53.2422307,2.39934142,-51.81171428,87,79,48.22222222,4.034951596,1.732430794,2.948999607
SrPrO3,1,../data/Structures/Insulators/SrPrO3_CollCode_84882.cif,0.14930622,15.18189395,7.287515917,-32.4942007,87,79,63.84,4.276565631,2.257315466,3.223873647
SrSnO3,1,../data/Structures/Insulators/SrSnO3_CollCode_90846.cif,0.036172729,32.72010802,10.8667579,-35.10732982,87,79,48.48,4.033637451,2.048630838,3.027017597
SrTiO3,1,../data/Structures/Insulators/SrTiO3_CollCode_23076.cif,0.101257731,52.3443396,11.0949076,-36.51438283,87,79,53.52,3.905,1.9525,2.761251981
SrWO4,1,../data/Structures/Insulators/SrWO4_CollCode_291536.cif,3.12172975,53.67509678,-8.800676069,-43.46790125,87,79,50,4.039282164,2.540477742,3.039606579
SrZrO3,1,../data/Structures/Insulators/SrZrO3_CollCode_173398.cif,0.100595443,42.41755667,16.03992679,-34.42895256,87,79,57.12,4.10003085,2.092947975,3.084991434
TiO2,1,../data/Structures/Insulators/TiO2_CollCode_33837.cif,0.111110436,51.99623536,12.31097089,-47.08149371,87,44,41.77777778,3.568160653,1.963894394,2.695991745
Tm2O3,1,../data/Structures/Insulators/Tm2O3_CollCode_78582.cif,0.074825992,14.86802807,15.7891712,-32.17412249,87,50,59.52,3.709364793,2.247085277,3.289309922
V2O5,1,../data/Structures/Insulators/V2O5_CollCode_59961.cif,0.138963288,58.32597283,7.008233717,-57.600115,87,41,35.51020408,3.187612956,1.940065966,2.823286234
Y2Ir2O7,1,../data/Structures/Insulators/Y2Ir2O7_CollCode_187534.cif,0.280864291,12.96980342,13.34968023,-39.97853571,87,75,46.04958678,3.572939855,1.983836484,2.823650256
Yb2O3,1,../data/Structures/Insulators/Yb2O3_CollCode_39179.cif,0.146833415,14.66938027,14.40930932,-32.19371762,87,48,58.08,3.703975959,2.246729287,3.28319708
YbO,1,../data/Structures/Insulators/YbO_CollCode_77710.cif,0.219499322,8.698260289,15.48321715,-20.63923094,87,48,60.5,3.448559772,2.4385,3.448559772
ZnO,1,../data/Structures/Insulators/ZnO_Wurtzite_CollCode_34477.cif,0.056090275,17.27675068,14.83056467,-23.88248621,87,18,28,3.212659114,1.983828507,3.212659114
ZnS,1,../data/Structures/Insulators/ZnS_CollCode_67453.cif,0.024975306,17.9993644,20.96297804,-20.17233368,88,19,8.5,3.830157031,2.344303465,3.830157031
BaVS3,2,../data/Structures/MIT_materials/HighT/BaVS3_HT_CollCode_8193.cif,0.160543969,13.44529991,2.573898856,-27.69137071,88,79,37.92,2.8084,2.396987462,3.383043667
Ca1.2La2.8Mn4O12,2,../data/Structures/MIT_materials/HighT/La0.7Ca0.3MnO3_CollCode_88398.cif,0.296188214,14.91559756,8.843086199,-33.94902317,87,80,49.128,3.866921036,1.962424077,2.906344385
Ca2RuO4,2,../data/Structures/MIT_materials/HighT/Ca2RuO4_HT_CollCode_94244.cif,0.216198949,10.19762837,9.365786937,-31.99623454,87,80,48.97959184,3.78701805,1.980033243,2.953707733
Ca4Mn3O10,2,../data/Structures/MIT_materials/HighT/Ca4Mn3O10_CollCode_86648.cif,0.588032539,17.32655676,2.841627625,-35.25051486,87,80,45.60553633,3.717532205,1.964896559,2.758927983
CaFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/CaCu3Fe4O12_CollCode_259139.cif,0.296188214,12.6018352,17.74524308,-38.07643111,87,80,34.32,3.64846,2.322519757,2.741580504
CaFeO3,2,../data/Structures/MIT_materials/HighT/CaFeO3_HT_CollCode_92330.cif,0.296188214,16.27115196,0.654902384,-37.50379807,87,80,42.24,3.770678973,1.918708025,2.831353564
Cd2Os2O7,2,../data/Structures/MIT_materials/HighT/Cd2Os2O7_RoomT_CollCode_155773.cif,0.205911495,11.09549284,8.724150244,-44.34661328,87,30,36.09917355,3.595860721,1.934394708,3.045249379
Cu(IrS2)2,2,../data/Structures/MIT_materials/HighT/CuIr2S4_HT_CollCode_75531.cif,2.103966192,7.864049328,20.48844293,-27.58279874,88,28,16.16326531,3.481581659,2.367475528,3.484364699
DyFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/DyCu3Fe4O12_HT_CollCode_237419.cif,0.359702903,16.60166261,7.49664613,-35.58173478,87,56,35.28,3.657205,2.361266562,2.747438384
DyNiO3,2,../data/Structures/MIT_materials/HighT/DyNiO3_553K_CollCode_162114.cif,0.219756193,15.9076817,10.40502885,-34.15375573,87,56,44.16,3.764301134,1.962510362,2.831061298
ErFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/ErCu3Fe4O12_HT_CollCode_237421.cif,0.356527159,16.59950823,7.578987375,-35.60644501,87,52,35.1,3.655205,2.36000251,2.746535538
ErNiO3,2,../data/Structures/MIT_materials/HighT/ErNiO3_653K_CollCode_191795.cif,0.230297469,15.88994531,10.46538126,-34.26901488,87,52,43.44,3.746928198,1.961756851,2.822356081
EuFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/EuCu3Fe4O12_HT_CollCode_237403.cif,0.160571031,16.63298269,8.609178691,-35.44992767,87,62,35.64,3.68653,2.352925086,2.777554001
EuNiO3,2,../data/Structures/MIT_materials/HighT/EuNiO3_CollCode_88039.cif,0.300669325,15.92892672,10.36362466,-34.01318371,87,62,45.6,3.785324034,1.955233495,2.843460476
Fe3O4,2,../data/Structures/MIT_materials/HighT/Fe3O4_HT_CollCode_26410.cif,0.296188214,19.95006257,3.736210024,-32.00055679,87,32,32.32653061,3.341809958,2.015816298,2.968332454
FeBiO3,2,../data/Structures/MIT_materials/HighT/BiFeO3_R3ch_RoomT_CollCode_230683.cif,0.316956417,20.63649815,14.42112485,-33.00745771,87,32,35.52,3.975056635,2.021996739,2.977193987
FeS,2,../data/Structures/MIT_materials/HighT/FeS_HT_CollCode_35008.cif,0.293393286,9.830122211,22.91910831,-20.10630832,88,33,13.5,3.115675877,2.474371917,3.488007807
GdFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/GdCu3Fe4O12_HT_CollCode_237417.cif,0.33521298,16.61102285,7.531115261,-35.51245383,87,60,35.52,3.66592,2.362237418,2.754201156
GdNiO3,2,../data/Structures/MIT_materials/HighT/GdNiO3_CollCode_88040.cif,0.304128694,15.9214113,10.41311028,-34.07199618,87,60,45.12,3.777860393,1.956399558,2.83782008
Hg2Ru2O7,2,../data/Structures/MIT_materials/HighT/Hg2Ru2O7_Pyro_RoomT_CollCode_420818.cif,0.301193992,13.00745012,5.125163778,-44.4768069,87,31,33.78512397,3.606629957,1.928491715,3.051351114
HoFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/HoCu3Fe4O12_HT_CollCode_237420.cif,0.356775402,16.6011027,7.514838663,-35.5878469,87,54,35.28,3.656685,2.361071005,2.747211878
K3(MoO3)10,2,../data/Structures/MIT_materials/HighT/K0.3MoO3_HT_CollCode_73509.cif,0.273563465,52.70864435,-1.58585903,-57.03495347,87,84,41.89291509,3.510127265,1.966840533,2.871595578
KV4O8,2,../data/Structures/MIT_materials/HighT/K2V8O16_HT_CollCode_100596.cif,0.296188214,13.93753671,10.67360225,-40.47580607,87,84,45.91715976,3.316802062,1.942926493,2.922681896
LaCoO3,2,../data/Structures/MIT_materials/HighT/LaCoO3_HT_CollCode_201764.cif,0.20542005,14.0403815,11.83196557,-33.28354696,87,74,48.24,3.860890863,1.947725798,2.905934903
LaCr4(CuO4)3,2,../data/Structures/MIT_materials/HighT/LaCu3Cr4O12_CollCode_248598.cif,0.296188214,12.61227897,17.24000592,-37.04514228,87,74,37.86,3.65814,2.340375364,2.745051204
LaFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/LaCu3Fe4O12_HT_CollCode_259141.cif,0.296188214,12.66484789,17.05796031,-36.49042076,87,74,36.18,3.707655,2.365153455,2.785544739
LuFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/LuCu3Fe4O12_HT_CollCode_237424.cif,0.379943367,16.59570001,7.398844976,-35.6169962,87,46,34.98,3.651675,2.364168005,2.74352196
LuNiO3,2,../data/Structures/MIT_materials/HighT/LuNiO3_673K_CollCode_191796.cif,0.244158624,15.86419028,10.44584192,-34.46082802,87,46,42.96,3.721984546,1.962366618,2.811248498
MgTi2O4,2,../data/Structures/MIT_materials/HighT/MgTi2O4_HT_CollCode_28324.cif,0.340124294,10.96918662,12.78862444,-31.2136507,87,44,42.93877551,2.996011432,2.1185,2.996011432
NaOsO3,2,../data/Structures/MIT_materials/HighT/NaOsO3_CollCode_252431.cif,0.309738048,11.29943503,9.066614564,-43.55774073,87,85,42.72,3.78881827,1.941229043,2.842540971
NbO2,2,../data/Structures/MIT_materials/HighT/NbO2_HT_CollCode_75198.cif,0.095387702,9.118928555,14.78554466,-44.77484495,87,40,43.55555556,3.747106872,2.041475187,2.873597656
Nd2Ir2O7,2,../data/Structures/MIT_materials/HighT/Nd2Ir2O7_CollCode_239644.cif,0.150082663,13.07505583,12.70653969,-39.16393831,87,68,48.59504132,3.668752824,2.013473586,2.886355264
NdCoO3,2,../data/Structures/MIT_materials/HighT/NdCoO3_CollCode_164822.cif,0.201866661,13.95514452,12.57996609,-34.0917648,87,68,46.8,3.774625301,1.926641603,2.830586397
NdFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/NdCu3Fe4O12_HT_CollCode_237414.cif,0.342156444,16.61957073,7.623952465,-35.45301047,87,68,35.82,3.673915,2.360067745,2.760151339
NdNiO3,2,../data/Structures/MIT_materials/HighT/NdNiO3_HT_CollCode_67724.cif,0.342998608,15.94850967,10.55672032,-33.82226811,87,68,46.32,3.804911296,1.942537073,2.853433006
NiSeS,2,../data/Structures/MIT_materials/HighT/NiSeS_CollCode_646374.cif,0.296188214,13.51615335,8.891047942,-9.425283649,89,28,7.555555556,4.111825933,2.424039089,3.060164062
Pr(P3Ru)4,2,../data/Structures/MIT_materials/HighT/PrRu4P12_HandGenerated.cif,0.296188214,64.81615176,-12.34258277,-94.19100481,83,66,20.92733564,4.0067496,2.349804497,2.881056578
PrCoO3,2,../data/Structures/MIT_materials/HighT/PrCoO3_CollCode_164820.cif,0.228866373,14.01899911,11.77696028,-33.51296913,87,70,47.28,3.838882058,1.954374588,2.880447737
PrFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/PrCu3Fe4O12_HT_CollCode_237413.cif,0.154076764,16.64910034,8.520667338,-35.31428624,87,70,35.94,3.701805,2.35767025,2.788925683
PrNiO3,2,../data/Structures/MIT_materials/HighT/PrNiO3_HT_CollCode_67720.cif,0.349936974,15.95467181,10.46084413,-33.75015037,87,70,46.8,3.811116785,1.940486551,2.860378651
Sm(P3Ru)4,2,../data/Structures/MIT_materials/HighT/SmRu4P12_HandGenerated.cif,0.296188214,64.84789685,-12.78643632,-93.83416447,83,60,20.51211073,4.04245733,2.362423835,2.902709487
SmFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/SmCu3Fe4O12_HT_CollCode_237415.cif,0.331385547,16.61481224,7.563981719,-35.48569293,87,64,35.64,3.66946,2.361589126,2.75683353
SmNiO3,2,../data/Structures/MIT_materials/HighT/SmNiO3_HT_CollCode_96037.cif,0.296188214,15.93968142,10.43553781,-33.90735536,87,64,45.6,3.796056065,1.949638951,2.847155368
Sr1.2La4.8Mn6O18,2,../data/Structures/MIT_materials/HighT/La0.8Sr0.2MnO3_HT_CollCode_152680.cif,0.296188214,14.59136005,9.321527277,-33.31958545,87,79,50.784,3.910568077,1.972511422,2.978940324
Sr3Fe2O7,2,../data/Structures/MIT_materials/HighT/Sr3Fe2O7_MP_18820.cif,0.296188214,16.45284856,-0.397556857,-33.567889,87,79,50.45833333,3.959046038,1.96317195,2.847589547
TbFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/TbCu3Fe4O12_HT_CollCode_237418.cif,0.345779795,16.60580852,7.431509856,-35.54296936,87,58,35.4,3.66106,2.365646597,2.750851624
TbNiO3,2,../data/Structures/MIT_materials/HighT/TbNiO3_MP_755865.cif,0.481144136,13.21274879,17.9246806,-34.21985361,87,58,44.64,3.783991173,1.977082596,2.849210889
Ti2O3,2,../data/Structures/MIT_materials/HighT/Ti2O3_HT_CollCode_9656.cif,0.1173168,11.06847302,16.16980573,-35.04239025,87,44,45.12,3.059207524,2.048208943,2.84435459
Ti3O5,2,../data/Structures/MIT_materials/HighT/Ti3O5_HT_CollCode_194464.cif,0.253761087,51.74945298,-4.898513949,-39.35089115,87,44,44.0625,3.362536723,2.022317753,2.882407019
Ti4O7,2,../data/Structures/MIT_materials/HighT/Ti4O7_HT_CollCode_19016.cif,0.296188214,31.58645479,14.68437768,-41.04590657,87,44,43.50413223,3.335421719,2.008507507,2.854371885
Tl2Ru2O7,2,../data/Structures/MIT_materials/HighT/Tl2Ru2O7_HT_CollCode_51158.cif,1.309385315,13.00173164,-5.624647139,-49.30199313,87,31,36.79338843,3.601471613,1.958494966,3.055825156
TmFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/TmCu3Fe4O12_HT_CollCode_237422.cif,0.359570251,16.59890998,7.386537343,-35.58971379,87,50,35.16,3.65465,2.367203394,2.746490781
V2O3,2,../data/Structures/MIT_materials/HighT/V2O3_HT_CollCode_1872.cif,0.054372109,13.03622164,15.3001209,-35.67518728,87,41,41.76,3.301401158,2.018265264,2.816449994
V3O5,2,../data/Structures/MIT_materials/HighT/V3O5_HT_CollCode_32587.cif,0.241232981,14.24788869,-7.851262177,-39.95962799,87,41,40.78125,3.329582599,1.993389652,2.839962723
V4O7,2,../data/Structures/MIT_materials/HighT/V4O7_HT_CollCode_2775.cif,0.296188214,13.45959705,14.3978818,-42.04631826,87,41,40.26446281,3.181766391,1.95861942,2.78577821
V5O9,2,../data/Structures/MIT_materials/HighT/V5O9_HT_CollCode_6097.cif,0.210843638,14.19100753,0.321268674,-42.91033095,87,41,39.94897959,3.286358962,1.964968033,2.79816429
V6O11,2,../data/Structures/MIT_materials/HighT/V6O11_HT_CollCode_196.cif,0.410193894,14.14826654,-1.565994024,-44.03143513,87,41,39.73702422,3.254611664,1.967508423,2.800460789
V6O13,2,../data/Structures/MIT_materials/HighT/V6O13_HT_CollCode_15028.cif,0.198241572,58.59293992,-12.46702008,-51.58965424,87,41,37.59556787,3.38782605,1.938790758,2.767633452
V8O15,2,../data/Structures/MIT_materials/HighT/V8O15_HT_CollCode_424885.cif,0.296188214,13.87518419,11.94068146,-44.76576204,87,41,39.47069943,3.269839893,1.952518298,2.819850069
VO2,2,../data/Structures/MIT_materials/HighT/VO2_HT_CollCode_1504.cif,0.128537534,14.48454621,9.779242119,-47.78125743,87,41,38.66666667,3.522329845,1.927293647,2.675472034
YNiO3,2,../data/Structures/MIT_materials/HighT/YNiO3_653K_CollCode_191794.cif,0.231000942,15.89837116,10.39327841,-34.20239306,87,75,43.68,3.75516135,1.963600892,2.827539218
YbFe4(CuO4)3,2,../data/Structures/MIT_materials/HighT/YbCu3Fe4O12_HT_CollCode_237423.cif,0.379838231,16.59733532,7.36118085,-35.60049968,87,48,34.98,3.65319,2.36561538,2.744641685
