model_type,positive_class,metric_name,metric_value,metric_dispersion,raw_metric
LogisticRegression,MIT,precision_weighted,0.767204322,0.011708848,"[0.7676190476190476, 0.7943899018232818, 0.7655172413793104, 0.7680571478966398, 0.766789596273292, 0.8093944099378882, 0.7540760869565217, 0.7547148503670243, 0.766789596273292, 0.7807065217391305]"
LogisticRegression,MIT,recall_weighted,0.760869565,0.02173913,"[0.7608695652173914, 0.782608695652174, 0.7333333333333333, 0.7391304347826086, 0.7333333333333333, 0.782608695652174, 0.7391304347826086, 0.7608695652173914, 0.7608695652173914, 0.7608695652173914]"
LogisticRegression,MIT,roc_auc,0.780691531,0.039040004,"[0.8018648018648019, 0.7323232323232323, 0.7828282828282829, 0.8158508158508159, 0.7622377622377622, 0.8259803921568627, 0.7622549019607844, 0.7785547785547785, 0.7995337995337995, 0.7575757575757577]"
LogisticRegression,MIT,f1_weighted,0.757403907,0.0183743,"[0.7574039067422811, 0.7869759316770187, 0.743778801843318, 0.7481065918653576, 0.7482758620689655, 0.7900888265544647, 0.7452113104287017, 0.7574039067422811, 0.7634584417193113, 0.7675447990290568]"
LogisticRegression,Multiclass,precision_weighted,0.657704043,0.019849165,"[0.6545893719806763, 0.6521739130434783, 0.6830947880097219, 0.6730887825624667, 0.6608187134502924, 0.6362876254180602, 0.6650515176830966, 0.6467724867724868, 0.6419753086419753, 0.668945504623254]"
LogisticRegression,Multiclass,recall_weighted,0.626328502,0.018357488,"[0.6086956521739131, 0.6304347826086957, 0.6304347826086957, 0.6521739130434783, 0.6304347826086957, 0.6521739130434783, 0.6222222222222222, 0.6222222222222222, 0.5869565217391305, 0.5869565217391305]"
LogisticRegression,Multiclass,roc_auc_ovr_weighted,0.802028387,0.010071712,"[0.7982258016582959, 0.7792901992901994, 0.7802584524552488, 0.8039020839020838, 0.8219065450186732, 0.8098044153031365, 0.8026535626535627, 0.8365256165256167, 0.7983510783510783, 0.801403211586278]"
LogisticRegression,Multiclass,f1_weighted,0.630914395,0.021796799,"[0.6118012422360248, 0.6308824992538057, 0.6414618777567738, 0.6489687848383501, 0.6309462915601023, 0.6401333108494235, 0.6317793317793318, 0.6295883397332672, 0.5853807789982559, 0.5836317135549872]"
DecisionTreeClassifier,Metal,precision_weighted,0.804441328,0.029430945,"[0.8342391304347826, 0.7947125338429687, 0.8720355731225296, 0.8047685834502104, 0.8041140719962598, 0.8304812834224597, 0.7815217391304349, 0.8097826086956522, 0.7993650793650795, 0.7902255639097746]"
DecisionTreeClassifier,Metal,recall_weighted,0.804347826,0.025120773,"[0.8222222222222222, 0.8043478260869565, 0.8478260869565217, 0.7608695652173914, 0.8, 0.8260869565217391, 0.7608695652173914, 0.8260869565217391, 0.8043478260869565, 0.8]"
DecisionTreeClassifier,Metal,roc_auc,0.650026671,0.046875,"[0.7072368421052632, 0.6348684210526316, 0.6315789473684211, 0.7162162162162162, 0.6381578947368421, 0.6973684210526315, 0.6520270270270271, 0.6480263157894737, 0.6480263157894737, 0.6578947368421052]"
DecisionTreeClassifier,Metal,f1_weighted,0.796881611,0.023304143,"[0.8296296296296297, 0.7990965556182948, 0.8059825306202117, 0.766308610400682, 0.7946666666666667, 0.8260869565217391, 0.7696894819207644, 0.8158942506768594, 0.7885940146809712, 0.7946666666666667]"
DecisionTreeClassifier,Insulator,precision_weighted,0.807969748,0.030520626,"[0.822742474916388, 0.804180602006689, 0.7928743961352657, 0.7988779803646564, 0.8554841897233202, 0.7945341614906832, 0.783117213323163, 0.8117588932806324, 0.827273497754047, 0.8298676748582231]"
DecisionTreeClassifier,Insulator,recall_weighted,0.804347826,0.02173913,"[0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.782608695652174, 0.8478260869565217, 0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.8260869565217391]"
DecisionTreeClassifier,Insulator,roc_auc,0.837619048,0.009797619,"[0.8352380952380952, 0.8580952380952381, 0.8160000000000001, 0.8447619047619047, 0.8523809523809524, 0.8057142857142856, 0.84, 0.8342857142857143, 0.843, 0.8352380952380952]"
DecisionTreeClassifier,Insulator,f1_weighted,0.803138893,0.0221143,"[0.8038852913968547, 0.8038799825338406, 0.7777777777777778, 0.7813545150501673, 0.8474663377531092, 0.7830204216073781, 0.7813545150501673, 0.8038852913968547, 0.8023978044200493, 0.8264163372859025]"
DecisionTreeClassifier,MIT,precision_weighted,0.832470669,0.02636261,"[0.8388543823326432, 0.8388543823326432, 0.8494252873563217, 0.8622222222222221, 0.8216798033731673, 0.8260869565217391, 0.8093944099378882, 0.82, 0.8764976958525345, 0.8100739839870275]"
DecisionTreeClassifier,MIT,recall_weighted,0.804347826,0.016666667,"[0.8043478260869565, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.8, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.8043478260869565]"
DecisionTreeClassifier,MIT,roc_auc,0.837102644,0.021197552,"[0.8005050505050504, 0.8263403263403264, 0.8671328671328672, 0.8473193473193473, 0.8396464646464646, 0.8446969696969697, 0.8251748251748252, 0.7692307692307693, 0.8876262626262627, 0.8345588235294118]"
DecisionTreeClassifier,MIT,f1_weighted,0.809454237,0.018537921,"[0.8121076954912284, 0.8121076954912284, 0.8291858678955453, 0.8493827160493829, 0.8063492063492064, 0.7900888265544647, 0.8064659977703456, 0.8063492063492064, 0.8697115384615384, 0.80680077871512]"
DecisionTreeClassifier,Multiclass,precision_weighted,0.750856417,0.018763848,"[0.7399682075958067, 0.7407197661673365, 0.7712760161272747, 0.7202053617460045, 0.7555555555555555, 0.7600414078674949, 0.7524183006535948, 0.6625656951743908, 0.7492945326278659, 0.7773386034255599]"
DecisionTreeClassifier,Multiclass,recall_weighted,0.695652174,0.05,"[0.6521739130434783, 0.6739130434782609, 0.7391304347826086, 0.6956521739130435, 0.7333333333333333, 0.7391304347826086, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6956521739130435]"
DecisionTreeClassifier,Multiclass,roc_auc_ovr_weighted,0.831841214,0.03035422,"[0.7729372595101495, 0.8335475546573944, 0.8194473337493932, 0.83013487275501, 0.8456516786036237, 0.8615721616293699, 0.80016865285744, 0.8119495874072532, 0.8397579397579397, 0.8666416535409671]"
DecisionTreeClassifier,Multiclass,f1_weighted,0.69899431,0.04007864,"[0.6603777920764776, 0.6915239350021958, 0.7426326627059142, 0.7048958052029886, 0.7386762459226228, 0.7439988597833589, 0.6930928152944805, 0.6678601875532821, 0.6928400962779123, 0.7116977225672878]"
RandomForestClassifier,Metal,precision_weighted,0.856144692,0.023183752,"[0.8594202898550726, 0.8232804232804232, 0.8570048309178743, 0.8372598162071847, 0.8342391304347826, 0.8581780538302277, 0.8581780538302277, 0.8845410628019322, 0.8267610380856084, 0.8552845528455284]"
RandomForestClassifier,Metal,recall_weighted,0.857246377,0.024275362,"[0.8695652173913043, 0.8444444444444444, 0.8260869565217391, 0.8444444444444444, 0.8478260869565217, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8478260869565217, 0.8666666666666667]"
RandomForestClassifier,Metal,roc_auc,0.847622293,0.057499111,"[0.8453947368421053, 0.8074324324324325, 0.8498498498498499, 0.8277027027027026, 0.8817567567567568, 0.8651315789473685, 0.9324324324324325, 0.8885135135135136, 0.8175675675675675, 0.8006756756756757]"
RandomForestClassifier,Metal,f1_weighted,0.841072061,0.026430519,"[0.8418478260869564, 0.8140135532540596, 0.8158942506768594, 0.8402962962962963, 0.8355731225296441, 0.851086956521739, 0.851086956521739, 0.8671525380386138, 0.817937832430586, 0.8418478260869564]"
RandomForestClassifier,Insulator,precision_weighted,0.809606155,0.03606355,"[0.826526130873957, 0.8047683310841206, 0.8025210084033613, 0.8074534161490682, 0.8056653491436101, 0.8117588932806324, 0.8683127572016461, 0.8479096989966556, 0.8458994708994709, 0.7863894139886578]"
RandomForestClassifier,Insulator,recall_weighted,0.804347826,0.034541063,"[0.8222222222222222, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.8043478260869565, 0.8666666666666667, 0.8478260869565217, 0.8444444444444444, 0.782608695652174]"
RandomForestClassifier,Insulator,roc_auc,0.917095238,0.01952381,"[0.894, 0.9161904761904762, 0.89, 0.918, 0.9059999999999999, 0.9180952380952381, 0.9238095238095239, 0.9219047619047619, 0.92, 0.8979999999999999]"
RandomForestClassifier,Insulator,f1_weighted,0.804625874,0.036513405,"[0.8227513227513227, 0.8038799825338406, 0.7813735177865612, 0.8023600681517005, 0.8046264006108004, 0.8046253469010175, 0.8657219973009447, 0.8474622086374317, 0.8447541618273327, 0.7813545150501673]"
RandomForestClassifier,MIT,precision_weighted,0.867567568,0.002399138,"[0.8716542629586108, 0.8675675675675676, 0.8675675675675676, 0.8666666666666667, 0.8666666666666667, 0.843840579710145, 0.8443817052512704, 0.8695652173913043, 0.870137299771167, 0.8675675675675676]"
RandomForestClassifier,MIT,recall_weighted,0.866666667,0.002173913,"[0.8695652173913043, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8444444444444444, 0.8478260869565217, 0.8695652173913043, 0.8695652173913043, 0.8666666666666667]"
RandomForestClassifier,MIT,roc_auc,0.900835276,0.032925408,"[0.9207459207459208, 0.8838383838383839, 0.8951048951048951, 0.923076923076923, 0.909090909090909, 0.9065656565656566, 0.8881118881118881, 0.8813131313131313, 0.9240196078431373, 0.8636363636363636]"
RandomForestClassifier,MIT,f1_weighted,0.858643892,0.008359213,"[0.860144927536232, 0.8571428571428571, 0.8571428571428571, 0.8614342179559572, 0.8666666666666667, 0.8367149758454108, 0.845620667926906, 0.860144927536232, 0.860144927536232, 0.85]"
RandomForestClassifier,Multiclass,precision_weighted,0.731655191,0.040167913,"[0.7195681005651021, 0.7006979787698124, 0.6913521261347348, 0.7247234247234247, 0.7945849297573435, 0.7247234247234247, 0.7618357487922707, 0.7585921325051759, 0.7970899470899471, 0.7385869565217391]"
RandomForestClassifier,Multiclass,recall_weighted,0.736231884,0.034057971,"[0.717391304347826, 0.6956521739130435, 0.6956521739130435, 0.7333333333333333, 0.8, 0.7333333333333333, 0.7608695652173914, 0.7391304347826086, 0.7777777777777778, 0.7391304347826086]"
RandomForestClassifier,Multiclass,roc_auc_ovr_weighted,0.882483355,0.030759458,"[0.8820256620256619, 0.8656013521742421, 0.8397277779428809, 0.8727700427700427, 0.9142371739625744, 0.8593621937611706, 0.9184194241738999, 0.8879170079170079, 0.882941048272856, 0.9015649738156132]"
RandomForestClassifier,Multiclass,f1_weighted,0.73011897,0.035581239,"[0.7151368760064413, 0.6969088482074753, 0.692924126172208, 0.7251220750810577, 0.7905082571749239, 0.7251220750810577, 0.7591213134691396, 0.7351158645276292, 0.7795721187025535, 0.7354937201967072]"
GradientBoostingClassifier,Metal,precision_weighted,0.864722517,0.008178054,"[0.8666666666666667, 0.8594202898550726, 0.8666666666666667, 0.8372598162071847, 0.8666666666666667, 0.8581780538302277, 0.8842940685045949, 0.8557252905078991, 0.8695652173913043, 0.8627783669141039]"
GradientBoostingClassifier,Metal,recall_weighted,0.857246377,0.021014493,"[0.8666666666666667, 0.8695652173913043, 0.8478260869565217, 0.8444444444444444, 0.8666666666666667, 0.8695652173913043, 0.8888888888888888, 0.8478260869565217, 0.8478260869565217, 0.8478260869565217]"
GradientBoostingClassifier,Metal,roc_auc,0.871621622,0.053078572,"[0.8453947368421053, 0.8682432432432433, 0.9054054054054054, 0.8243243243243243, 0.8851351351351351, 0.875, 0.9358108108108107, 0.9210526315789473, 0.8528528528528528, 0.8289473684210527]"
GradientBoostingClassifier,Metal,f1_weighted,0.855801525,0.010027785,"[0.8588972431077694, 0.8619206880076445, 0.8260869565217391, 0.8352067868504772, 0.8666666666666667, 0.851086956521739, 0.8859259259259259, 0.8512872975277067, 0.8573268921095009, 0.8542761586239848]"
GradientBoostingClassifier,Insulator,precision_weighted,0.850474046,0.015961348,"[0.8056653491436101, 0.8683127572016461, 0.8530383930841596, 0.8479096989966556, 0.8479096989966556, 0.8944911297852474, 0.8666666666666667, 0.8554841897233202, 0.8298676748582231, 0.8479096989966556]"
GradientBoostingClassifier,Insulator,recall_weighted,0.847826087,0.030434783,"[0.8043478260869565, 0.8666666666666667, 0.8260869565217391, 0.8478260869565217, 0.8478260869565217, 0.8888888888888888, 0.8666666666666667, 0.8478260869565217, 0.8260869565217391, 0.8478260869565217]"
GradientBoostingClassifier,Insulator,roc_auc,0.925857143,0.02,"[0.8980000000000001, 0.9352380952380952, 0.9295238095238095, 0.8838095238095238, 0.9104761904761904, 0.9520000000000001, 0.9259999999999999, 0.9257142857142857, 0.948, 0.9238095238095237]"
GradientBoostingClassifier,Insulator,f1_weighted,0.847462209,0.029624177,"[0.8046264006108004, 0.8657219973009447, 0.8260869565217391, 0.8474622086374317, 0.8474622086374317, 0.8875290384724346, 0.8666666666666667, 0.8480419364785693, 0.8264163372859025, 0.8474622086374317]"
GradientBoostingClassifier,MIT,precision_weighted,0.844665277,0.022684755,"[0.8491987179487179, 0.8443817052512704, 0.8378151260504202, 0.9044444444444444, 0.8792701863354037, 0.8222222222222222, 0.8525387655822437, 0.8260869565217391, 0.8449488491048593, 0.8093944099378882]"
GradientBoostingClassifier,MIT,recall_weighted,0.8352657,0.02173913,"[0.8444444444444444, 0.8260869565217391, 0.8260869565217391, 0.8913043478260869, 0.8695652173913043, 0.8222222222222222, 0.8478260869565217, 0.8260869565217391, 0.8478260869565217, 0.8043478260869565]"
GradientBoostingClassifier,MIT,roc_auc,0.903166278,0.019510718,"[0.898989898989899, 0.9191919191919192, 0.9117647058823529, 0.9533799533799534, 0.9343434343434343, 0.8578088578088578, 0.9065656565656566, 0.8737373737373737, 0.8974358974358974, 0.8997668997668997]"
GradientBoostingClassifier,MIT,f1_weighted,0.838029554,0.025701792,"[0.8463589743589742, 0.8213981244671781, 0.8301408736191344, 0.8924811098724141, 0.8726056552143507, 0.8222222222222222, 0.8497339390006488, 0.8260869565217391, 0.8459182349123945, 0.8064659977703456]"
GradientBoostingClassifier,Multiclass,precision_weighted,0.766853147,0.030116282,"[0.7450076209667003, 0.7333333333333333, 0.7259316770186335, 0.7710800310800311, 0.7596153846153846, 0.7626262626262627, 0.7729096989966555, 0.7867599067599068, 0.8050724637681159, 0.7807312252964427]"
GradientBoostingClassifier,Multiclass,recall_weighted,0.755555556,0.020772947,"[0.6956521739130435, 0.7333333333333333, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7608695652173914, 0.7555555555555555, 0.7777777777777778, 0.7391304347826086]"
GradientBoostingClassifier,Multiclass,roc_auc_ovr_weighted,0.893213213,0.01373291,"[0.8746664846664847, 0.8932532532532532, 0.895744796774545, 0.8931731731731732, 0.9003858460380201, 0.8837073437073438, 0.8989073474199332, 0.8618209118209118, 0.9130137596956819, 0.8864131673056158]"
GradientBoostingClassifier,Multiclass,f1_weighted,0.756914221,0.022679636,"[0.7032284959111632, 0.7333333333333333, 0.729201921950076, 0.7596910953506698, 0.7570793650793651, 0.756749076442171, 0.7702075702075701, 0.7604938271604939, 0.7832347753916382, 0.7504540336348116]"
