Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,avg_dev_Electronegativity,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
La(As3Os)4,0,../data/Structures/Metals/LaOs4As12_CollCode_610776.cif,0.89991435,63.30917705,10.61178143,-93.69511575,0.120138408,71,15.61245675,4.27185,2.42768901,3.26997384
La(As3Ru)4,0,../data/Structures/Metals/LaRu4As12_CollCode_610778.cif,0,65.0250727,17.04576707,-94.08715934,0.120138408,71,16.27681661,4.25405,2.417573284,3.256348471
La(FeAs3)4,0,../data/Structures/Metals/LaFe4As12_CollCode_23080.cif,0,15.69917204,19.45896469,0,0.205951557,71,11.62629758,4.1626,2.365092194,3.186250196
La(FeP3)4,0,../data/Structures/Metals/LaFe4P12_CollCode_1286.cif,0,12.34477734,19.70166088,0,0.210103806,70,16.60899654,3.9158,2.259187477,2.828390009
La(FeSb3)4,0,../data/Structures/Metals/LaFe4Sb12_CollCode_53490.cif,0,20.26216746,19.46644202,0,0.151972318,72,7.723183391,4.56975,2.553940317,3.477682855
La(P3Ru)4,0,../data/Structures/Metals/LaRu4P12_CollCode_50596.cif,0,64.82926502,-12.04952515,0,0.120968858,70,21.25951557,4.0305,2.362500877,2.884204003
La(Sb3Ru)4,0,../data/Structures/Metals/LaRu4Sb12_CollCode_641783.cif,0.094999453,65.3032794,10.4535318,-81.30090231,0.109342561,72,7.972318339,4.635,2.71580942,3.249698078
LaCuO3,0,../data/Structures/Metals/LaCuO3_CollCode_73554.cif,0.17490188,16.81871161,8.357028111,-33.1963344,0.9312,74,49.68,3.870573596,1.952442824,2.944153343
LaNiO3,0,../data/Structures/Metals/LaNiO3_CollCode_67714.cif,0.381625687,15.97487891,10.54882688,-33.53280898,0.9288,74,47.76,3.831608844,1.932730134,2.914259428
LaRuO3,0,../data/Structures/Metals/LaRuO3_CollCode_75569.cif,0.020493113,12.89182973,14.90462246,-32.52500262,0.8592,74,53.04,3.957937348,2.030541707,2.977909775
LiTi2O4,0,../data/Structures/Metals/LiTi2O4_CollCode_51184.cif,0.308767926,31.60241352,13.71425218,-30.22045696,1.022040816,86,40.81632653,3.347797037,1.997245185,2.794197249
MoO2,0,../data/Structures/Metals/MoO2_CollCode_80830.cif,0.322788123,8.963666347,13.60238431,-45.10745176,0.568888889,37,39.11111111,2.810601646,2.010207988,2.92740489
NbO,0,../data/Structures/Metals/NbO_CollCode_237585.cif,0.729525843,5.884797568,12.27600804,-20.57308131,0.92,40,49,2.978086275,2.105825,2.978086275
Nd(As3Os)4,0,../data/Structures/Metals/NdOs4As12_CollCode_611007.cif,0.899388803,63.30340692,10.61469202,-93.8555018,0.115709343,65,15.11418685,4.26455,2.423540426,3.264385908
Nd(FeSb3)4,0,../data/Structures/Metals/NdFe4Sb12_CollCode_79927.cif,0,19.35447536,19.4625488,-90.78906347,0.148650519,66,7.058823529,4.565,2.54913234,3.473444213
Nd(P3Os)4,0,../data/Structures/Metals/NdOs4P12_CollCode_645670.cif,0.513698367,63.10856966,-5.119991942,-93.46206062,0.116539792,64,20.09688581,4.0319,2.362431931,2.885701172
Nd(P3Ru)4,0,../data/Structures/Metals/NdRu4P12_CollCode_645686.cif,0.257211712,64.82639291,-12.80092027,-93.78071829,0.116539792,64,20.76124567,4.0182,2.35440462,2.875895843
OsO2,0,../data/Structures/Metals/OsO2_CollCode_15070.cif,0.164449672,9.905228853,13.71476265,-46.44155798,0.551111111,30,34.66666667,3.516594574,1.991272195,2.883725273
Pr(As3Os)4,0,../data/Structures/Metals/PrOs4As12_CollCode_611141.cif,0.899656513,63.30419852,10.61136099,-93.83349866,0.116816609,67,15.28027682,4.26555,2.424108725,3.265151378
Pr(As3Ru)4,0,../data/Structures/Metals/PrRu4As12_CollCode_611222.cif,0,65.02037157,17.047036,-94.21783134,0.116816609,67,15.94463668,4.24815,2.414220319,3.251832197
Pr(CoSi)2,0,../data/Structures/Metals/PrCo2Si2_CollCode_31418.cif,0,11.64824465,16.81886276,0,0.2432,61,27.04,2.806506815,2.324219314,2.542785
Pr(FeAs3)4,0,../data/Structures/Metals/PrFe4As12_CollCode_610521.cif,0,15.68772941,19.45314115,-96.30110802,0.203460208,67,11.29411765,4.15625,2.36199362,3.181485486
Pr(FeP3)4,0,../data/Structures/Metals/PrFe4P12_CollCode_93363.cif,0.206888747,12.34423682,19.75529377,-99.96060757,0.207612457,66,16.27681661,3.9063,2.247600294,2.831295217
