Compound,Label,struct_file_path,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,ewald_energy_per_atom,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,minimum neighbor distance variation,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,gii,struct_ordered,struct_disordered,max_mm_dists,min_mm_dists,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,8.0,24.0,16.0,13.6,6.719999999999999,8.0,7.0,87.0,80.0,63.4,28.320000000000004,87.0,15.9994,51.9961,35.9967,28.014459999999996,14.418072,15.9994,54.8,2180.0,2125.2,691.88,764.496,54.8,2.0,16.0,14.0,11.2,5.76,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,176.0,110.0,102.6,43.92,66.0,1.0,3.44,2.44,2.596,1.0128,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,5.2,1.2799999999999998,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.4,1.44,2.0,9.105,37.77,28.665000000000003,15.255,9.006,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,-2.0,4.0,6.0,3.3806170189140663,-37.765241787647014,0.07754046479044957,1.089262550404605,0.8061488380238758,0.010833077899471822,0.14017759055540124,0.12934451265592942,0.09318543094527607,0.04255515102541746,0.13719505801221601,0.3348212323138412,1.0,0.0,3.751320695768359,3.7446499999999974,3.7490971305122387,1.9345827570185083,1.880321446022814,1.9077181782683208,3.283739675475711,2.677252046154985,2.813988826840875,-46.43851440727876,25.057294945568206,49.16,69.46,16.459168594804428,7.076892085042886,10.5390999057708
Ce(FeSb3)4,0,../data/Structures/Metals/CeFe4Sb12_CollCode_621065.cif,26.0,58.0,32.0,45.529411764705884,9.19031141868512,51.0,15.0,85.0,70.0,73.82352941176471,15.778546712802765,85.0,55.845,140.116,84.27100000000002,107.33035294117647,24.22840138408305,121.76,903.78,1811.0,907.22,1127.08,321.8447058823529,903.78,3.0,15.0,12.0,12.647058823529411,3.3217993079584778,15.0,4.0,6.0,2.0,4.823529411764706,0.3875432525951559,5.0,132.0,204.0,72.0,141.1764705882353,7.391003460207621,139.0,1.12,2.05,0.9299999999999997,1.9435294117647057,0.15031141868512102,2.05,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.1176470588235294,1.245674740484429,3.0,1.0,10.0,9.0,8.529411764705882,2.0761245674740487,10.0,0.0,1.0,1.0,0.058823529411764705,0.11072664359861592,0.0,4.0,15.0,11.0,12.705882352941176,3.238754325259516,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1176470588235294,1.245674740484429,3.0,0.0,9.0,9.0,1.4705882352941178,2.0761245674740487,0.0,0.0,13.0,13.0,0.7647058823529411,1.4394463667820068,0.0,3.0,22.0,19.0,4.352941176470588,2.0761245674740483,3.0,10.73,37.24,26.51,26.992941176470588,7.653148788927335,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.4966265411764706,0.7595464747404845,0.0,166.0,229.0,63.0,182.47058823529412,23.25259515570934,166.0,-3.0,5.0,8.0,3.7151016403349995,-90.57137933165134,0.06227838411290848,1.1532936291521034,0.8676584337600692,0.02042772377339846,0.11665479085738213,0.09622706708398367,0.08868438491944129,0.039487631912386974,0.11936747043739171,,1.0,0.0,4.5675,4.567499999999999,4.567499999999998,2.554159722066144,2.554159722066142,2.5541597220661436,3.7609805671991987,2.9049299999999993,3.477261372650268,-63.76740931806448,26.543116805907434,,,,,22.42057456985294
Sm2Mo2O7,0,../data/Structures/Metals/Sm2Mo2O7_CollCode_291028.cif,8.0,62.0,54.0,24.0,20.363636363636363,8.0,23.0,87.0,64.0,68.63636363636364,23.37190082644628,87.0,15.9994,150.36,134.3606,54.966890909090914,49.59498842975208,15.9994,54.8,2896.0,2841.2,805.9636363636364,956.0264462809918,54.8,3.0,16.0,13.0,11.818181818181818,5.322314049586777,16.0,2.0,6.0,4.0,3.272727272727273,1.6198347107438018,2.0,66.0,198.0,132.0,106.0,50.90909090909091,66.0,1.17,3.44,2.27,2.7945454545454544,0.8214876033057851,3.44,1.0,2.0,1.0,1.8181818181818181,0.29752066115702486,2.0,0.0,4.0,4.0,2.5454545454545454,1.8512396694214877,4.0,0.0,5.0,5.0,0.9090909090909091,1.487603305785124,0.0,0.0,6.0,6.0,1.0909090909090908,1.7851239669421488,0.0,6.0,8.0,2.0,6.363636363636363,0.5950413223140494,6.0,0.0,1.0,1.0,0.18181818181818182,0.29752066115702475,0.0,0.0,2.0,2.0,1.2727272727272727,0.9256198347107438,2.0,0.0,5.0,5.0,0.9090909090909091,1.487603305785124,0.0,0.0,8.0,8.0,1.4545454545454546,2.380165289256198,0.0,2.0,8.0,6.0,3.8181818181818183,2.3140495867768593,2.0,9.105,33.23,24.124999999999996,14.688636363636363,7.106446280991734,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,79.45454545454545,85.8512396694215,12.0,-2.0,6.0,8.0,3.7859388972001824,-39.00306682454281,0.06838864876566164,1.0766574742519404,0.8186501124920891,3.660879494570891e-17,0.18631306719449645,0.18631306719449642,0.09286592221535321,0.047557585993946126,0.12458662321574557,0.18374146424365806,1.0,0.0,3.683884908625677,3.6838849086256746,3.683884908625675,2.0217783299916947,2.021778329991693,2.021778329991694,3.0737820000000013,2.68797408280809,2.898260283152458,-43.966873887641896,23.324578286425986,40.33,54.417,10.178178102148696,12.128366741068692,12.85495228774473
La(As3Ru)4,0,../data/Structures/Metals/LaRu4As12_CollCode_610778.cif,33.0,57.0,24.0,37.0,5.647058823529412,33.0,13.0,84.0,71.0,73.23529411764706,15.197231833910037,84.0,74.9216,138.90547,63.98387000000001,84.83792176470587,13.99951307958477,74.9216,1090.0,2607.0,1517.0,1453.0,543.0588235294117,1090.0,3.0,15.0,12.0,12.647058823529411,3.3217993079584778,15.0,4.0,6.0,2.0,4.352941176470588,0.49826989619377154,4.0,119.0,207.0,88.0,130.52941176470588,16.27681660899654,119.0,1.1,2.2,1.1,2.121176470588235,0.12013840830449848,2.18,1.0,2.0,1.0,1.7647058823529411,0.35986159169550175,2.0,0.0,3.0,3.0,2.1176470588235294,1.245674740484429,3.0,1.0,10.0,9.0,8.764705882352942,1.7439446366782003,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,12.647058823529411,3.3217993079584778,15.0,0.0,1.0,1.0,0.23529411764705882,0.3598615916955017,0.0,0.0,3.0,3.0,2.1176470588235294,1.245674740484429,3.0,0.0,9.0,9.0,1.2352941176470589,1.7439446366782008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,3.588235294117647,0.8304498269896194,3.0,13.51,36.8975,23.387500000000003,21.002205882352943,3.525743944636678,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,174.23529411764707,11.626297577854677,166.0,-3.0,5.0,8.0,4.657215388235098,-94.0871593435299,0.05244953042337641,1.1833931646766531,0.888544747850325,0.025288258156415767,0.12704160572214912,0.10175334756573336,0.09839504654862463,0.040442201186152105,0.10031990253689414,,1.0,0.0,4.25405,4.254049999999999,4.254049999999999,2.417573283918611,2.4175732839186086,2.41757328391861,3.611906407115974,2.6204948000000003,3.256348471037849,-67.46395735218348,26.63166159432032,110.0,178.41,65.0250726954314,,18.114186723130622
RuO2,0,../data/Structures/Metals/RuO2_CollCode_15071.cif,8.0,44.0,36.0,20.0,16.0,8.0,56.0,87.0,31.0,76.66666666666667,13.777777777777777,87.0,15.9994,101.07,85.0706,44.35626666666666,37.80915555555555,15.9994,54.8,2607.0,2552.2,905.5333333333333,1134.3111111111111,54.8,8.0,16.0,8.0,13.333333333333334,3.5555555555555554,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,146.0,80.0,92.66666666666667,35.55555555555556,66.0,2.2,3.44,1.2399999999999998,3.026666666666667,0.551111111111111,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,7.0,7.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,6.666666666666667,0.888888888888889,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,9.105,13.51,4.404999999999999,10.573333333333332,1.9577777777777772,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,-2.0,4.0,6.0,4.242640687119285,-46.923664970575764,,,,,,,,,,0.15149581120460154,1.0,0.0,3.5357210997192654,3.106599999999999,3.488040977528234,1.9835951225166502,1.9425963044718892,1.9699288498350622,3.2544090468838385,2.467313291879925,2.8578195777328337,-44.78172550634223,25.598980333552518,45.0,59.0,9.87170847682983,10.360158830469885,10.447063780671
Ho(SiNi)2,0,../data/Structures/Metals/HoNi2Si2_CollCode_56232.cif,14.0,67.0,53.0,30.2,14.719999999999999,14.0,33.0,78.0,45.0,62.2,12.64,61.0,28.0855,164.93032,136.84482,67.69762399999999,38.89307839999999,28.0855,1687.0,1747.0,60.0,1715.4,22.71999999999998,1687.0,3.0,14.0,11.0,10.2,3.04,10.0,3.0,6.0,3.0,4.0,0.8,3.0,111.0,192.0,81.0,132.4,23.840000000000003,111.0,1.23,1.91,0.6799999999999999,1.77,0.21599999999999991,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,8.0,8.0,3.2,3.8400000000000007,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,4.0,13.0,9.0,8.2,3.3600000000000003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,3.0,3.0,0.6,0.96,0.0,2.0,4.0,2.0,3.0,0.8,2.0,10.32,30.7333333333,20.4133333333,18.450666666660002,6.504533333328,10.32,0.0,0.773,0.773,0.30920000000000003,0.37104000000000004,0.0,0.0,0.5953947,0.5953947,0.23815788000000002,0.285789456,0.0,194.0,227.0,33.0,219.6,10.240000000000004,225.0,-4.0,3.0,7.0,3.872983346207417,0.0,0.05624315053360347,1.140607876334009,0.9388277111809374,0.02887506428151118,0.11609645325131908,0.0872213889698079,0.09448179819357325,0.026242693564824816,0.11153128236634058,0.0,1.0,0.0,2.776808329719572,2.776808329719572,2.776808329719572,2.3720175706769124,2.372017570676912,2.3720175706769124,2.0913199999999996,2.0913199999999996,2.0913199999999996,,,,,,,14.6595153474
SrOsO3,0,../data/Structures/Metals/SrOsO3_SD_0375560.cif,8.0,76.0,68.0,27.6,23.52,8.0,8.0,87.0,79.0,65.2,26.160000000000004,87.0,15.9994,190.23,174.23059999999998,65.16964,59.004287999999995,15.9994,54.8,3306.0,3251.2,904.0799999999999,1019.1360000000001,54.8,2.0,16.0,14.0,11.6,5.279999999999999,16.0,2.0,6.0,4.0,3.4,1.6799999999999997,2.0,66.0,195.0,129.0,107.4,49.68,66.0,0.95,3.44,2.49,2.694,0.8951999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,2.0,22.0,20.0,8.4,5.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,54.23,45.125,19.127,14.041199999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,-2.0,4.0,6.0,3.3806170189140663,-35.47214491572871,0.06556945340663405,1.0436153920703801,0.8360763664834155,0.008253924445505116,0.15516380695422435,0.14690988250871923,0.10366060658450012,0.045636283429593034,0.11688700348228391,0.6220555742886147,1.0,0.0,3.95,3.935088944356912,3.942544472178456,2.0601543118912238,2.0439278789673567,2.053738146987693,3.248982106999052,2.859020899317806,2.962373965598538,-42.747293227414374,23.48468106985058,41.0,55.0,10.347625219800385,10.509724039630605,12.232597
Pr(CoSi)2,0,../data/Structures/Metals/PrCo2Si2_CollCode_31418.cif,14.0,59.0,45.0,28.2,12.32,14.0,17.0,78.0,61.0,57.8,16.32,58.0,28.0855,140.90765,112.82215,62.989008,31.167456800000004,28.0855,1204.0,1768.0,564.0,1622.8,167.52000000000004,1687.0,3.0,14.0,11.0,9.8,3.3600000000000003,9.0,3.0,6.0,3.0,4.0,0.8,3.0,111.0,203.0,92.0,135.4,27.040000000000003,111.0,1.13,1.9,0.77,1.738,0.24319999999999994,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,7.0,7.0,2.8,3.3599999999999994,0.0,0.0,3.0,3.0,0.6,0.96,0.0,4.0,9.0,5.0,6.2,2.2399999999999998,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,11.0,11.0,2.2,3.5200000000000005,0.0,3.0,11.0,8.0,5.0,2.4,3.0,10.245,35.675,25.43,19.409,7.3312,10.245,0.0,0.773,0.773,0.30920000000000003,0.37104,0.0,0.0,1.5484712,1.5484712,0.61938848,0.743266176,0.0,194.0,227.0,33.0,207.2,15.839999999999998,194.0,-4.0,3.0,7.0,3.872983346207417,0.0,0.06419210995327136,1.1604802748831784,0.9543744242527551,0.029956449011806892,0.12805674124753005,0.09810029223572317,0.10571632524606096,0.03030395049370163,0.13163367895149958,0.0,1.0,0.0,2.8065068145294068,2.8065068145294068,2.8065068145294068,2.3242193141582512,2.324219314158251,2.324219314158251,2.5427850000000003,2.5427849999999994,2.542785,,,,,,,15.634813792500001
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,8.0,22.0,14.0,15.0,7.0,8.0,43.0,87.0,44.0,65.0,22.0,43.0,15.9994,47.867,31.867599999999996,31.9332,15.933799999999998,15.9994,54.8,1941.0,1886.2,997.9,943.1,54.8,4.0,16.0,12.0,10.0,6.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,160.0,94.0,113.0,47.0,66.0,1.54,3.44,1.9,2.49,0.95,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,5.0,3.0,2.0,9.105,16.69,7.585000000000001,12.8975,3.7925000000000004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.126666666665e-05,1.126666666665e-05,0.0,12.0,194.0,182.0,103.0,91.0,12.0,-2.0,2.0,4.0,2.8284271247461903,-23.94156679375547,1.1102230246251565e-16,1.0000000000000002,1.0,0.0,2.4646389561087757e-16,2.4646389561087757e-16,1.1002852482628462e-16,1.1002852482628462e-16,1.4341691277378077e-16,,1.0,0.0,2.9728890401426016,2.9728890401426016,2.972889040142601,2.10215,2.10215,2.1021500000000004,2.9728890401426016,2.9728890401426016,2.972889040142601,-23.941498573717283,23.941498573717283,13.5755,27.49171,9.072554617789944,19.74671801445167,9.289473631688375
SrMoO3,0,../data/Structures/Metals/SrMoO3_CollCode_71994.cif,8.0,42.0,34.0,20.8,15.360000000000003,8.0,8.0,87.0,79.0,63.8,27.839999999999996,87.0,15.9994,95.96,79.9606,46.315639999999995,36.379487999999995,15.9994,54.8,2896.0,2841.2,822.0799999999999,920.7360000000001,54.8,2.0,16.0,14.0,11.2,5.76,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,195.0,129.0,109.4,52.08,66.0,0.95,3.44,2.49,2.686,0.9047999999999998,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,5.2,1.2799999999999998,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.4,1.44,2.0,9.105,54.23,45.125,19.447,13.9132,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,-2.0,4.0,6.0,3.3806170189140663,-35.96092531131338,0.08415758215809144,1.1166715772118425,0.7896060446047714,3.9597802292092886e-17,0.1224077499274832,0.12240774992748316,0.07344464995648985,0.058755719965191786,0.15000000000000008,0.31152195900150786,1.0,0.0,3.9650999999999996,3.9650999999999996,3.9650999999999996,1.9825500000000007,1.9825499999999998,1.9825499999999998,2.80374909808278,2.803749098082779,2.8037490980827795,-44.94997642649438,23.44525938666257,40.33,54.417,10.455401805755217,13.091223424667373,12.467874722290201
